,variable,value
540,54,29.272717272727274
541,54,26.727262727272727
542,54,23.490899090909092
543,54,35.999990000000004
544,54,26.054535454545455
545,54,27.036353636363636
546,54,20.89089909090909
547,54,22.672717272727272
548,54,24.98180818181818
549,54,19.12726272727273
550,55,29.053561428571424
551,55,27.571418571428573
552,55,24.12499
553,55,35.83927571428571
554,55,26.142847142857143
555,55,26.982132857142858
556,55,20.910704285714285
557,55,23.017847142857143
558,55,25.357132857142858
559,55,18.94641857142857
560,56,28.71928824561403
561,56,27.701744385964915
562,56,23.842095263157898
563,56,35.7719198245614
564,56,26.24560403508772
565,56,27.12279701754386
566,56,20.92981456140351
567,56,23.12279701754386
568,56,25.17542859649123
569,56,18.754375964912278
570,57,28.517231379310342
571,57,27.60343827586207
572,57,23.931024482758623
573,57,35.70688655172413
574,57,26.327576206896552
575,57,26.913783103448278
576,57,21.051714137931036
577,57,23.56895551724138
578,57,25.31033482758621
579,57,18.586196896551723
580,58,28.1864306779661
581,58,27.711854406779665
582,58,23.98304084745763
583,58,35.322023898305076
584,58,26.186430677966104
585,58,26.949142542372883
586,58,21.220328983050848
587,58,23.91524423728814
588,58,26.27117644067797
589,58,18.440667966101692
590,59,27.98332333333333
591,59,27.499990000000004
592,59,24.06665666666667
593,59,35.04998999999999
594,59,26.249990000000004
595,59,27.249990000000004
596,59,21.149990000000003
597,59,23.933323333333338
598,59,26.366656666666668
599,59,18.283323333333332
600,60,27.754088360655736
601,60,27.393432622950822
602,60,24.16392442622951
603,60,35.16392442622949
604,60,26.213104754098364
605,60,27.606547377049182
606,60,21.393432622950822
607,60,24.11474409836066
608,60,26.655727704918036
609,60,18.311465409836064
610,61,27.58063516129032
611,61,27.20966741935484
612,61,23.951602903225808
613,61,34.80644161290321
614,61,26.032248064516132
615,61,27.903215806451616
616,61,21.758054516129036
617,61,24.2741835483871
618,61,26.693538387096776
619,61,18.225796451612904
620,62,27.3015773015873
621,62,27.3968153968254
622,62,23.7936407936508
623,62,34.76189476190474
624,62,25.984116984126988
625,62,28.063482063492067
626,62,22.04760904761905
627,62,24.412688412698415
628,62,26.42856142857143
629,62,18.26983126984127
630,63,27.093739999999997
631,63,27.499989999999997
632,63,23.890614999999997
633,63,34.40624
634,63,25.999989999999997
635,63,27.953114999999997
636,63,22.218739999999997
637,63,24.656239999999997
638,63,26.468739999999997
639,63,18.187489999999997
640,64,26.907682307692305
641,64,27.615374615384614
642,64,23.969220769230766
643,64,34.06152846153846
644,64,25.907682307692305
645,64,27.999989999999997
646,64,22.615374615384614
647,64,24.799989999999998
648,64,26.49229769230769
649,64,18.12306692307692
650,65,26.89392939393939
651,65,27.378777878787876
652,65,24.348474848484845
653,65,33.78786878787878
654,65,25.8030203030303
655,65,28.15150515151515
656,65,22.727262727272723
657,65,24.621202121212118
658,65,26.59089909090909
659,65,18.166656666666665
660,66,26.671631791044774
661,66,27.16416910447761
662,66,24.16416910447761
663,66,33.4776019402985
664,66,25.77610940298507
665,66,28.328348208955223
666,66,22.820885522388057
